Location,Country
"Francavilla al Mare, Abruzzo, Italy",Italy
France,France
"Frankfurt am Main, Germany",Germany
"Frankfurt am Main, Hesse, West Germany",Germany
"Frankfurt, Germany",Germany
"Fukuoka Prefecture, Japan",Japan
"Fukushima, Japan",Japan
"Fulda, Germany",Germany
"Fulmer, Buckinghamshire, England, UK",UK
"Fushimi-ku, Kyoto, Kyoto Prefecture, Japan",Japan
"Gainesville, Florida, USA",USA
"Garfield Heights, Ohio, USA",USA
"Garnant, Carmarthenshire, Wales, UK",UK
"Gary, Indiana, USA",USA
"Genoa, Liguria, Italy",Italy
"Georgia, USA",USA
"Getxo, Spain",Spain
"Gilve, Poland",Poland
Glasgow - Scotland,Scotland
"Glasgow, Scotland, UK",UK
"Glen Ellyn, Illinois, USA",USA
"Glen Ridge, New Jersey, USA",USA
"Glendale, California, USA",USA
"Goisern, Austria",Austria
"Gorkiy, RSFSR, USSR",Russia
"Gothenburg, Västra Götalands län, Sweden",Sweden
"Great Bookham, Surrey, England, UK",UK
"Grosse Pointe, Michigan, USA",USA
"Guadalcanal, Seville, Ispanija",Spain
"Guangzhou, Guangdong, China",China
"Haifa, Israel",Israel
"Hamamatsu, Shizuoka, Japan",Japan
"Hamelin, Lower Saxony, West Germany",Germany
"Hammersmith, London, England, UK",UK
"Hampstead, London, England, UK",UK
"Harlem, New York, USA",USA
"Harrisburg, Pennsylvania, USA",USA
"Hartford, Connecticut, USA",USA
"Haslemere, Surrey, England, UK",UK
"Haslingden, Lancashire, England, UK",UK
"Hastings, East Sussex, England, UK",UK
Hattiesburg - Mississippi - USA,USA
"Havana, Cuba",Cuba
"Haverstraw, New York, USA",USA
"Hayward, California, USA",USA
"Heathfield, Sussex, England, UK",UK
"Helsinki, Finland",Finland
"Heston, Middlesex, England",UK
"Highbury, London, England, UK",UK
"Highland Park, Los Angeles, California, USA",USA
"Hillingdon, Middlesex, England, UK",UK
"Hirosaki, Aomori Prefecture, Japan",Japan
"Houston, Texas, USA",USA
"Hull, Québec, Canada",Canada
"Husum, Germany",Germany
Iceland,Iceland
"Igualada, Barcelona, Catalonia, Spain",Spain
"Ilgın, Konya, Türkiye",Turkey
"Illinois, USA",USA
India,India
"Indiana, USA",USA
"Indianapolis, Indiana, USA",USA
"Inverness, Scotland, UK",UK
"Iowa City, Iowa, USA",USA
Iran,Iran
"Irving, Texas, USA",USA
"Islington, London, UK",UK
"Jabalpur, Madhya Pradesh, India",India
"Jalpaiguri, West Bengal, India",India
Japan,Japan
"Jerusalem, Israel",Israel
Johannesburg - South Africa,South Africa
"Johannesburg, South Africa",South Africa
"Kanagawa Prefecture, Japan",Japan
"Kansas City, Kansas, USA",USA
"Kansas City, Missouri, USA",USA
"Karlovy Vary, Czechoslovakia [now Czech Republic]",Czech Republic
"Karuizawa, Nagano Prefecture, Japan",Japan
"Kearny, New Jersey, USA",USA
"Kensington, London, England, UK",UK
"Kingston upon Thames, England, UK",UK
"Kingston, Ontario, Canada",Canada
"Kinston, North Carolina, USA",USA
"Kitakyushu, Fukuoka Prefecture, Japan",Japan
"Klein, Texas, USA",USA
"Kobe, Hyōgo, Japan",Japan
"Konin, Wielkopolskie, Poland",Poland
"Kragerø, Norway",Norway
"Kraków, małopolskie, Polska",Poland
"Kremenchuk, Poltava Governorate, Russian Empire [now Ukraine]",Ukraine
"Kushiro, Hokkaidō, Japan",Japan
"Kutch, Gujarat, India",India
"Königshütte, Upper Silesia, Germany [now Chorzów, Slaskie, Poland]",Poland
"Kōbe, Japan",Japan
"La Paz, Bolivia",Bolivia
"Ladbroke Grove, London, England, UK",UK
"Lake City, Minnesota, USA",USA
"Lawrence, Massachusetts, USA",USA
"Laxou, Meurthe-et-Moselle, France",France
"Le Havre, Seine-Inférieure [now Seine-Maritime], France",France
"Leavenworth, Kansas, USA",USA
"Leeds, Yorkshire, England, UK",UK
"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]",Russia
"Leningrad, USSR [now St. Petersburg, Russia]",Russia
"Lewes, Sussex, England, UK",UK
"Linköping, Sweden",Sweden
"Linköping, Östergötlands län, Sweden",Sweden
"Linz, Upper Austria, Austria",Austria
"Littleton, Colorado, USA",USA
"Liverpool, England, UK",UK
"Liverpool, Merseyside, England, United Kingdom",UK
"Lodève, Hérault, France",France
London,UK
"London, England",UK
"London, England, UK",UK
"London, UK",UK
"Long Branch, New Jersey, USA",USA
"Long Island, New York, USA",USA
"Lonigo, Veneto, Italy",Italy
"Lorca, Murcia, Spain",Spain
